id,price,mileage,brand,clean_model,model_encoded,brand_encoded,is_auction,car_age,miles_per_year,price_per_mile,brand_tier,model_rarity
1,1750.0,171100,BMW,5series 525i,162,4,1,21,8147.62,0.01,3,1
3,5100.0,16550,Nissan,altima 25 platinum awd,378,30,0,6,2758.33,0.31,2,1
4,11995.0,93981,Infiniti,q50 30t bkcam,1247,17,0,9,10442.33,0.13,2,1
5,7700.0,57449,Toyota,avalon,411,40,0,12,4787.42,0.13,2,11
6,795.0,167906,Mercedes-Benz,eclass e 350,747,25,1,15,11193.73,0.0,3,5
8,1990.0,150000,Toyota,camry hybrid,454,40,0,17,8823.53,0.01,2,4
9,4050.0,114384,BMW,4series 430i gran,129,4,0,5,22876.8,0.04,3,2
10,5000.0,155808,BMW,3series xi 6speed,119,4,0,18,8656.0,0.03,3,1
11,7500.0,100689,Honda,civic ex,538,14,0,9,11187.67,0.07,2,28
12,8999.0,105788,Hyundai,equus signature,785,16,0,11,9617.09,0.09,2,2
14,2075.0,110348,Ford,explorer,811,11,1,9,12260.89,0.02,1,2
15,6500.0,137000,Toyota,camry,445,40,0,13,10538.46,0.05,2,95
16,9990.0,107526,Acura,ilx 20l,927,1,0,11,9775.09,0.09,2,1
17,1225.0,148556,Toyota,corolla,610,40,1,16,9284.75,0.01,2,68
19,1950.0,142000,Mercedes-Benz,cclass,470,25,0,20,7100.0,0.01,3,8
21,4401.0,73500,Honda,accord exl leather sunroof,355,14,1,14,5250.0,0.06,2,1
23,5000.0,115595,BMW,3series i,115,4,0,10,11559.5,0.04,3,7
24,14000.0,139000,Audi,rs4 quattro,1301,3,1,17,8176.47,0.1,2,3
25,10500.0,110102,Lincoln,continental,592,21,1,8,13762.75,0.1,2,3
26,910.0,126589,Mercedes-Benz,cclass 25l,472,25,0,18,7032.72,0.01,3,1
27,7200.0,108832,Honda,accord exl navi 15t one,356,14,0,7,15547.43,0.07,2,1
30,6000.0,121220,Toyota,camry hybrid,454,40,1,10,12122.0,0.05,2,4
31,5250.0,95553,Chrysler,300 series,60,9,0,20,4777.65,0.05,2,8
33,510.0,181448,Toyota,camry,445,40,0,19,9549.89,0.0,2,95
34,5750.0,102917,Kia,optima lx,1187,19,0,8,12864.62,0.06,2,10
35,20000.0,3000,Honda,civic hybrid,546,14,0,0,3000.0,6.66,2,2
36,2000.0,181950,Honda,accord ex,351,14,0,20,9097.5,0.01,2,24
