title,price,year,mileage,brand,condition,bids,seller_score,reviews_count,link_type,status
2004 BMW 5-Series 525i,1750.0,2004,171100,BMW,Pre-Owned,45.0,99%,10300,Auction,Active
2007 Honda Accord,660.0,2007,256860,Honda,Pre-Owned,26.0,99%,10300,Auction,Active
2019 Nissan Altima 2.5 Platinum AWD clean carfax 16k miles,5100.0,2019,16550,Nissan,Great Value Look,60.0,100%,2300,Buy It Now,Active
New Listing2016 Q50 3.0T PREMIUM NAV BK/CAM ROOF HTD STS LOADED,11995.0,2016,93981,Infiniti,Pre-Owned,,100%,888,,Active
2013 Toyota Avalon XLE Premium 4dr Sedan,7700.0,2013,57449,Toyota,AmeriCarsUSA Hollywood 305-331-5208,25.0,96%,1500,Buy It Now,Active
2010 Mercedes-Benz E-Class E 350,795.0,2010,167906,Mercedes-Benz,Pre-Owned,24.0,99%,10300,Auction,Active
"New Listing1972 Chrysler Newport ORIGINAL SURVIVOR,  110K MILES COLD AC",6999.0,1972,110000,Chrysler,Pre-Owned,,100%,1000,,Active
2008 Toyota Camry HYBRID,1990.0,2008,150000,Toyota,Pre-Owned,,100%,225,,Active
2020 BMW 4-Series 430i Gran Coupe 4dr Sedan,4050.0,2020,114384,BMW,AmeriCarsUSA Hollywood 305-331-5208,12.0,96%,1500,Buy It Now,Active
2007 BMW 3-Series XI 6SPEED MANUAL,5000.0,2007,155808,BMW,Pre-Owned,,100%,445,,Active
New Listing2016 Honda Civic EX,7500.0,2016,100689,Honda,Pre-Owned,,100%,28,,Active
New Listing2014 Hyundai Equus Signature 4dr Sedan,8999.0,2014,105788,Hyundai,P7 Auto Firm Richmond,,98.4%,1000,,Active
2005 Chevrolet Aveo LS,280.0,2005,188123,Chevrolet,Pre-Owned,4.0,99%,10300,Auction,Active
2016 Ford Explorer,2075.0,2016,110348,Ford,WASHINGTON - NO RESERVE - GLOBAL SHIPPING - VIDEO,25.0,100%,35900,Auction,Active
2012 Toyota Camry SE,6500.0,2012,137000,Toyota,Pre-Owned,,100%,1,Buy It Now,Active
2014 Acura ILX 2.0L Sedan 4D,9990.0,2014,107526,Acura,Jericho Motors Columbus,0.0,100%,21,Buy It Now,Active
2009 Toyota Corolla LE,1225.0,2009,148556,Toyota,Pre-Owned,26.0,99%,10300,Auction,Active
1975 Ford Bronco,10600.0,1975,45153,Ford,Pre-Owned,9.0,100%,1100,Buy It Now,Active
New Listing2005 Mercedes-Benz C-Class 230K SPORT SEDAN,1950.0,2005,142000,Mercedes-Benz,Pre-Owned,,99.3%,898,,Active
New Listing1965 Chrysler Imperial,15000.0,1965,58972,Chrysler,100+ Photos & Video - SCROLL DOWN click 'READ MORE',0.0,98.8%,629,Auction,Active
2011 Honda Accord EX-L LEATHER SUNROOF,4401.0,2011,73500,Honda,NO RESERVE LOW MILES NAVIGATION,34.0,100%,135,Auction,Active
New Listing1955 Chevrolet Sedan Delivery,22200.0,1955,3311,Chevrolet,100+ Photos & Video - SCROLL DOWN click 'READ MORE',0.0,98.8%,629,Auction,Active
2015 BMW 3-Series I,5000.0,2015,115595,BMW,Pre-Owned,,100%,36,,Active
2008 Audi RS4 QUATTRO,14000.0,2008,139000,Audi,Pre-Owned,2.0,100%,7,Auction,Active
2017 Lincoln Continental,10500.0,2017,110102,Lincoln,Pre-Owned,0.0,100%,198,Auction,Active
2007 Mercedes-Benz C-Class 2.5L Sport,910.0,2007,126589,Mercedes-Benz,Great Value Look,22.0,100%,2300,Buy It Now,Active
2018 Honda Accord EX-L Navi 1.5T one owner clean carfax,7200.0,2018,108832,Honda,Great Value Look,18.0,100%,2300,Buy It Now,Active
1968 Chevrolet Bel Air/150/210,9000.0,1968,123456789,Chevrolet,Pre-Owned,,100%,171,,Active
New Listing1949 Chevrolet Deluxe,25000.0,1949,55500,Chevrolet,Pre-Owned,,100%,213,,Active
2015 Toyota Camry HYBRID,6000.0,2015,121220,Toyota,Pre-Owned,4.0,100%,281,Auction,Active
2005 Chrysler 300 Series,5250.0,2005,95553,Chrysler,5.7 Hemi 95K Miles,,100%,479,,Active
1934 Ford Two Door Sedan,18600.0,1934,7917,Ford,100+ Photos & Video - SCROLL DOWN click 'READ MORE',20.0,98.8%,629,Auction,Active
2006 Toyota Camry LE,510.0,2006,181448,Toyota,Great Value Look,13.0,100%,2300,Buy It Now,Active
2017 Kia Optima LX,5750.0,2017,102917,Kia,Pre-Owned,,100%,590,,Active
2025 Honda Civic HYBRID SPORT,20000.0,2025,3000,Honda,Pre-Owned,,100%,1100,,Active
2005 Honda Accord EX,2000.0,2005,181950,Honda,Pre-Owned,,0%,156,,Active
2003 Jaguar S-Type,2800.0,2003,79200,Jaguar,Pre-Owned,,0%,10,,Active
2003 Lincoln Town Car,4200.0,2003,173910,Lincoln,100+ Photos & Video - SCROLL DOWN click 'READ MORE',0.0,98.8%,629,Auction,Active
2000 BMW 5-Series I AUTOMATIC,2700.0,2000,160040,BMW,Sell Your Auto Fast Orlando,,100%,1200,,Active
2011 Dodge Charger Pursuit Extremely Low Miles 87k 5.7 Hemi H.O.,8350.0,2011,87408,Dodge,Pre-Owned,,100%,382,,Active
